n = 2,			residual = 0.000028375735242
n = 4,			residual = 0.000000028814606
n = 8,			residual = 0.000000000000043
n = 16,			residual = 0.000000000000001
n = 32,			residual = 0.000000000000001
n = 64,			residual = 0.000000000000001
n = 128,			residual = 0.000000000000001
n = 256,			residual = 0.000000000000001
n = 512,			residual = 0.000000000000001
n = 1024,			residual = 0.000000000000001
n = 2048,			residual = 0.000000000000001
n = 4096,			residual = 0.000000000000001
n = 8192,			residual = 0.000000000000001
n = 16384,			residual = 0.000000000000001
n = 32768,			residual = 0.000000000000001
n = 65536,			residual = 0.000000000000001
n = 131072,			residual = 0.000000000000001
n = 262144,			residual = 0.000000000000001
n = 524288,			residual = 0.000000000000001
n = 1048576,			residual = 0.000000000000001
n = 2097152,			residual = 0.000000000000001
n = 4194304,			residual = 0.000000000000001
n = 8388608,			residual = 0.000000000000001
n = 16777216,			residual = 0.000000000000001
